city,city_state,state,population,lat,lon,education_score,safety_score,health_score,composite_score,composite_z
Albuquerque,"Albuquerque, NM",NM,564559,35.0844,-106.6504,52.90520124543257,19.31108817709079,40.272804263972404,37.496364562165255,-0.6251817718917372
Anaheim,"Anaheim, CA",CA,350986,33.8366,-117.9143,25.978516608117125,66.20018187137529,51.58349698028357,47.92073181992533,-0.10396340900373353
Arlington,"Arlington, TX",TX,394266,32.7357,-97.1081,45.29607819613577,60.2857620985735,54.41117015936136,53.33100348469021,0.16655017423451043
Atlanta,"Atlanta, GA",GA,510823,33.749,-84.388,71.97259747476622,44.886957464882336,51.58349698028357,56.147683973310706,0.3073841986655353
Aurora,"Aurora, CO",CO,395282,39.7294,-104.8319,43.39562313553152,58.04787353589174,54.41117015936136,51.95155561026154,0.09757778051307708
Austin,"Austin, TX",TX,979882,30.2672,-97.7431,70.97983856953618,63.53602882056367,74.2048824129059,69.5735832676686,0.9786791633834294
Bakersfield,"Bakersfield, CA",CA,413280,35.3733,-119.0187,21.283453163776656,53.30568110544706,20.479092010427863,31.689408759883857,-0.9155295620058072
Baltimore,"Baltimore, MD",MD,585708,39.2904,-76.6122,45.54396363882327,7.002701082341112,20.479092010427863,24.34191891053075,-1.2829040544734625
Baton Rouge,"Baton Rouge, LA",LA,225128,30.4515,-91.1871,50.872814912883506,26.664150597330863,26.134438368583446,34.557134626265935,-0.7721432686867032
Boise,"Boise, ID",ID,237446,43.615,-116.2023,68.55637260611,71.52848797299853,77.0325555919837,72.37247205703075,1.1186236028515373
Boston,"Boston, MA",MA,654776,42.3601,-71.0589,67.48357384190658,55.96983415625868,71.37720923382811,64.94353907733112,0.747176953866556
Chandler,"Chandler, AZ",AZ,283500,33.3062,-111.8413,68.5674811693923,74.03279184076146,71.37720923382811,71.32582741466061,1.0662913707330308
Charlotte,"Charlotte, NC",NC,897720,35.2271,-80.8431,62.610927738012194,50.9079433597166,57.23884333843915,56.919238145389315,0.34596190726946574
Chesapeake,"Chesapeake, VA",VA,254444,36.7682,-76.2875,57.63465316113737,75.20501918311857,60.066516517516945,64.30206295392429,0.7151031476962147
Chicago,"Chicago, IL",IL,2665039,41.8781,-87.6298,53.47751493930354,37.480611983626034,54.41117015936136,48.45643236076364,-0.07717838196181777
Cincinnati,"Cincinnati, OH",OH,311097,39.1031,-84.512,52.85589845438358,37.90687647175589,31.78978472673903,40.85085321762617,-0.45745733911869163
Cleveland,"Cleveland, OH",OH,361607,41.4993,-81.6944,26.38907039067389,3.7524343603509323,9.16839929411669,13.103301348380505,-1.8448349325809748
Colorado Springs,"Colorado Springs, CO",CO,488664,38.8339,-104.8214,65.41527319758822,54.10492702069054,65.72186287567253,61.747354364650434,0.5873677182325215
Columbus,"Columbus, OH",OH,905748,39.9612,-82.9988,56.69621993783876,49.735716017359486,48.75582380120578,51.729253252134676,0.08646266260673378
Corpus Christi,"Corpus Christi, TX",TX,317773,27.8006,-97.3964,33.35694845040862,49.735716017359486,31.78978472673903,38.29414973150238,-0.5852925134248811
Dallas,"Dallas, TX",TX,1302092,32.7767,-96.797,37.71906370220577,43.235182573379134,45.92815062212799,42.29413229923763,-0.3852933850381184
Denver,"Denver, CO",CO,713252,39.7392,-104.9903,71.58288933133157,50.64152805463544,77.0325555919837,66.41899099265024,0.8209495496325117
Des Moines,"Des Moines, IA",IA,214237,41.5868,-93.625,47.55413284480781,49.735716017359486,54.41117015936136,50.56700634050955,0.028350317025477606
Durham,"Durham, NC",NC,295179,35.994,-78.8986,65.26371342100128,43.821296244557686,60.066516517516945,56.383842061025305,0.3191921030512653
El Paso,"El Paso, TX",TX,678815,31.7619,-106.485,29.32550147515726,65.7206343222292,34.61745790581682,43.22119790106776,-0.33894010494661203
Fontana,"Fontana, CA",CA,218390,34.0922,-117.435,14.396986450457788,63.37617963751498,31.78978472673903,36.52098360490393,-0.6739508197548035
Fort Worth,"Fort Worth, TX",TX,956709,32.7555,-97.3308,42.992372159854625,55.65013579016128,48.75582380120578,49.13277725040723,-0.04336113747963857
Fremont,"Fremont, CA",CA,230504,37.5485,-121.9886,76.96850055628315,75.68456673226466,88.34324830829486,80.33210519894756,1.5166052599473778
Fresno,"Fresno, CA",CA,545567,36.7378,-119.7871,23.548964972291042,55.49028660711258,26.134438368583446,35.057896649329024,-0.7471051675335488
