city,city_state,state,population,lat,lon,rank,tax_score,investment_score,effectiveness_score,city_pgi
Irvine,"Irvine, CA",CA,314603,33.6846,-117.8265,1,57.63579688731553,86.15650329947294,97.46686668404621,80.41972229027823
Gilbert,"Gilbert, AZ",AZ,280892,33.3528,-111.789,2,67.2875561050575,86.15650329947294,84.17782544569755,79.20729495007599
Chandler,"Chandler, AZ",AZ,283500,33.3062,-111.8413,3,65.0032378253787,81.06403804602604,75.92014101644871,73.99580562928448
Scottsdale,"Scottsdale, AZ",AZ,241361,33.4942,-111.9261,4,57.63579688731553,70.87910753913226,90.98920127514631,73.1680352338647
Plano,"Plano, TX",TX,288253,33.0198,-96.6989,5,57.63579688731553,75.97157279257915,83.01288363468302,72.20675110485924
Henderson,"Henderson, NV",NV,331540,36.0395,-114.9817,6,65.0032378253787,81.06403804602604,69.3550560792456,71.80744398355012
Raleigh,"Raleigh, NC",NC,482295,35.7796,-78.6382,7,60.43460126602109,81.06403804602604,73.72595547330079,71.74153159511597
Boise,"Boise, ID",ID,237446,43.615,-116.2023,8,60.43460126602109,75.97157279257915,77.19226876074876,71.199480939783
Fremont,"Fremont, CA",CA,230504,37.5485,-121.9886,9,62.71891954569989,60.69417703223847,86.866679486583,70.09325868817378
Lincoln,"Lincoln, NE",NE,295222,40.8136,-96.7026,10,60.43460126602109,70.87910753913226,72.19035294997312,67.83468725170881
Austin,"Austin, TX",TX,979882,30.2672,-97.7431,11,52.84078644438615,75.97157279257915,73.79040346853735,67.53425423516755
Mesa,"Mesa, AZ",AZ,511648,33.4152,-111.8315,12,65.0032378253787,75.97157279257915,55.27268387924706,65.41583149906832
Colorado Springs,"Colorado Springs, CO",CO,488664,38.8339,-104.8214,13,59.92011516699433,70.87910753913226,64.27813682354979,65.02578650989211
Durham,"Durham, NC",NC,295179,35.994,-78.8986,14,57.63579688731553,75.97157279257915,57.75914027770658,63.788836652533746
Madison,"Madison, WI",WI,269840,43.0731,-89.4012,15,44.42379386430839,60.69417703223847,85.31851228952912,63.47882772869199
Charlotte,"Charlotte, NC",NC,897720,35.2271,-80.8431,16,58.60303075348583,70.87910753913226,58.40987901513205,62.630672435916715
Arlington,"Arlington, TX",TX,394266,32.7357,-97.1081,17,62.71891954569989,70.87910753913226,54.048615717020056,62.548880933950734
Chesapeake,"Chesapeake, VA",VA,254444,36.7682,-76.2875,18,50.782842048279115,65.78664228568536,67.38321713777896,61.317567157247815
Virginia Beach,"Virginia Beach, VA",VA,459470,36.8529,-75.978,19,44.42379386430839,65.78664228568536,73.6585230882643,61.289653079419345
Aurora,"Aurora, CO",CO,395282,39.7294,-104.8319,20,62.71891954569989,65.78664228568536,52.37198752647908,60.29251645262144
San Diego,"San Diego, CA",CA,1388320,32.7157,-117.1611,21,51.585440362760856,55.60171177879158,72.77079961910927,59.985983920220576
Irving,"Irving, TX",TX,256684,32.814,-96.9489,22,55.35147860763672,65.78664228568536,58.151943297306836,59.76335473020964
Lexington,"Lexington, KY",KY,322570,38.0406,-84.5037,23,53.06716032795792,55.60171177879158,69.4028539921363,59.35724203296193
Omaha,"Omaha, NE",NE,489265,41.2565,-95.9345,24,57.63579688731553,60.69417703223847,59.57205815683544,59.300677358796484
Greensboro,"Greensboro, NC",NC,301700,36.0726,-79.792,25,60.43460126602109,65.78664228568536,49.3957900236886,58.53901119179835
Fort Worth,"Fort Worth, TX",TX,956709,32.7555,-97.3308,26,60.43460126602109,65.78664228568536,48.94594776910442,58.389063773603624
Glendale,"Glendale, AZ",AZ,248325,33.5387,-112.186,27,65.0032378253787,60.69417703223847,49.18571171591463,58.2943755245106
Garland,"Garland, TX",TX,246018,32.9126,-96.6389,28,62.71891954569989,65.78664228568536,45.495061624466814,58.000207818617355
North Las Vegas,"North Las Vegas, NV",NV,287011,36.1989,-115.1175,29,67.2875561050575,65.78664228568536,39.186545867650985,57.42024808613129
Phoenix,"Phoenix, AZ",AZ,1650070,33.4484,-112.074,30,55.12510472406495,70.87910753913226,45.243692155682474,57.082634806293235
Jacksonville,"Jacksonville, FL",FL,985843,30.3322,-81.6557,31,58.60303075348583,60.69417703223847,50.980095279763205,56.75910102182917
Moreno Valley,"Moreno Valley, CA",CA,217928,33.9425,-117.2297,32,71.36228600934942,60.69417703223847,37.325964025450595,56.46080902234616
Reno,"Reno, NV",NV,274827,39.5296,-119.8138,33,57.63579688731553,55.60171177879158,55.35920371401393,56.19890412670702
St. Petersburg,"St. Petersburg, FL",FL,268091,27.7676,-82.6403,34,55.35147860763672,55.60171177879158,57.385720857255244,56.11297041456118
Oklahoma City,"Oklahoma City, OK",OK,681054,35.4676,-97.5164,35,62.71891954569989,65.78664228568536,39.25536045530903,55.92030742889809
San Jose,"San Jose, CA",CA,945942,37.3382,-121.8863,36,45.74087827781689,50.50924652534474,71.28125802142597,55.84379427486254
Orlando,"Orlando, FL",FL,320742,28.5383,-81.3792,37,55.35147860763672,60.69417703223847,51.18104672788303,55.74223412258607
San Antonio,"San Antonio, TX",TX,1495295,29.4241,-98.4936,38,62.82181676550525,65.78664228568536,38.60578969214053,55.738082914443716
Lubbock,"Lubbock, TX",TX,266538,33.5779,-101.8552,39,65.0032378253787,65.78664228568536,35.147462268007146,55.3124474596904
Tampa,"Tampa, FL",FL,407599,27.9506,-82.4572,40,57.63579688731553,50.50924652534474,57.61933239998001,55.25479193754676
Winston-Salem,"Winston-Salem, NC",NC,252292,36.0999,-80.2442,41,60.43460126602109,60.69417703223847,44.312611010923305,55.14712976972762
El Paso,"El Paso, TX",TX,678815,31.7619,-106.485,42,67.74030387220105,55.60171177879158,41.76081176544969,55.034275805480775
Wichita,"Wichita, KS",KS,400110,37.6872,-97.3301,43,61.97805956310136,60.69417703223847,41.92078353697126,54.8643400441037
Las Vegas,"Las Vegas, NV",NV,660929,36.1699,-115.1398,44,59.92011516699433,60.69417703223847,42.60212732474973,54.40547317466085
Corpus Christi,"Corpus Christi, TX",TX,317773,27.8006,-97.3964,45,65.0032378253787,60.69417703223847,35.772308676365554,53.82324117799425
Seattle,"Seattle, WA",WA,755078,47.6062,-122.3321,46,32.48771636688761,45.416781271897854,81.27245200181082,53.058983213532095
Columbus,"Columbus, OH",OH,905748,39.9612,-82.9988,47,51.46196369899443,55.60171177879158,52.101793626899074,53.05515636822836
Fontana,"Fontana, CA",CA,218390,34.0922,-117.435,48,69.5718743847363,55.60171177879158,33.61714183789503,52.930242667140966
Des Moines,"Des Moines, IA",IA,214237,41.5868,-93.625,49,50.782842048279115,55.60171177879158,50.68915892534723,52.35790425080597
Spokane,"Spokane, WA",WA,230160,47.6588,-117.426,50,55.35147860763672,50.50924652534474,50.05779812230242,51.97284108509462
Tucson,"Tucson, AZ",AZ,546574,32.2226,-110.9747,51,62.204433446673136,50.50924652534474,43.15200705475196,51.955229008923276
Anaheim,"Anaheim, CA",CA,350986,33.8366,-117.9143,52,57.63579688731553,50.50924652534474,47.47278624221165,51.872609884957306
Riverside,"Riverside, CA",CA,314998,33.9533,-117.3962,53,62.71891954569989,50.50924652534474,42.16728134647632,51.79848247250698
Houston,"Houston, TX",TX,2314157,29.7604,-95.3698,54,58.60303075348583,60.69417703223847,35.551034171396324,51.61608065237355
Denver,"Denver, CO",CO,713252,39.7392,-104.9903,55,27.73386481188037,55.60171177879158,69.95620397756407,51.097260189412005
Tulsa,"Tulsa, OK",OK,413066,36.154,-95.9928,56,60.43460126602109,55.60171177879158,36.17605341315218,50.737455485988285
Albuquerque,"Albuquerque, NM",NM,564559,35.0844,-106.6504,57,60.43460126602109,55.60171177879158,34.802653258642636,50.27965543448511
Bakersfield,"Bakersfield, CA",CA,413280,35.3733,-119.0187,58,67.2875561050575,55.60171177879158,27.744680297277263,50.21131606037545
Sacramento,"Sacramento, CA",CA,524943,38.5816,-121.4944,59,55.35147860763672,40.32431601845096,52.970555634852175,49.54878342031329
Tacoma,"Tacoma, WA",WA,221776,47.2529,-122.4443,60,53.06716032795792,45.416781271897854,49.781434959480194,49.421792186445316
Nashville,"Nashville, TN",TN,683622,36.1627,-86.7816,61,43.45655999813808,60.69417703223847,43.464378496207004,49.205038508861186
Honolulu,"Honolulu, HI",HI,345510,21.3069,-157.8583,62,34.77203464656641,35.23185076500407,77.10332385704598,49.035736422872155
Laredo,"Laredo, TX",TX,261776,27.5036,-99.5076,63,69.5718743847363,50.50924652534474,25.654595478279575,48.57857212945354
Portland,"Portland, OR",OR,635067,45.5155,-122.6789,64,39.11429732235225,35.23185076500407,70.96148443125654,48.435877506204285
Long Beach,"Long Beach, CA",CA,466742,33.7701,-118.1937,65,53.06716032795792,40.32431601845096,49.8532631790413,47.74824650848339
Dallas,"Dallas, TX",TX,1302092,32.7767,-96.797,66,51.2767487033448,50.50924652534474,40.63402448241951,47.47333990370302
Modesto,"Modesto, CA",CA,218464,37.6391,-120.9969,67,65.0032378253787,45.416781271897854,31.18368129414964,47.201233463808734
Fresno,"Fresno, CA",CA,545567,36.7378,-119.7871,68,62.71891954569989,45.416781271897854,31.838855843619502,46.65818555373909
Louisville,"Louisville, KY",KY,628594,38.2527,-85.7585,69,50.782842048279115,45.416781271897854,43.54323393034471,46.58095241684057
St. Paul,"St. Paul, MN",MN,307193,44.9537,-93.09,70,44.42379386430839,35.23185076500407,58.511864064983534,46.055836231432004
