city,city_state,state,population,lat,lon,rank,adj_rank,rank_change,city_pgi,adj_city_pgi,tax_score,investment_score,adj_investment_score,effectiveness_score,rpp,col_weight
Irvine,"Irvine, CA",CA,314603,33.6846,-117.8265,1,1,0,75.54549313750466,61.467855176028586,52.63579688731553,81.15650329947294,38.92358941504469,92.84417922572553,112.6,0.7682060390763766
Scottsdale,"Scottsdale, AZ",AZ,241361,33.4942,-111.9261,4,2,2,68.21908574188643,60.50952982149348,52.63579688731553,65.87910753913226,42.75043977795339,86.14235279921151,97.8,0.8844580777096115
Seattle,"Seattle, WA",WA,755078,47.6062,-122.3321,46,3,43,48.54133164474024,58.66797895587711,27.48771636688761,40.416781271897854,70.79672320530847,77.71949729543525,107.5,0.8046511627906977
San Francisco,"San Francisco, CA",CA,808437,37.7749,-122.4194,89,4,85,28.546335239163586,58.592338655424754,0.0,9.861989751216498,100.0,75.77701596627426,112.6,0.7682060390763766
Gilbert,"Gilbert, AZ",AZ,280892,33.3528,-111.789,2,5,-3,74.08177032966337,57.306203606831104,62.287556105057504,81.15650329947294,30.82980313097614,78.80125158445968,97.8,0.8844580777096115
Plano,"Plano, TX",TX,288253,33.0198,-96.6989,5,6,-1,67.11034602871628,56.706401125409435,52.63579688731553,70.97157279257915,39.75973808265864,77.72366840625415,95.3,0.9076600209863589
Madison,"Madison, WI",WI,269840,43.0731,-89.4012,15,7,8,58.63881164280042,56.3049354971671,39.42379386430839,55.69417703223847,48.692548595338515,80.79846403185441,93.5,0.9251336898395722
Fremont,"Fremont, CA",CA,230504,37.5485,-121.9886,9,8,1,65.24492111062284,55.89764889500646,57.71891954569989,55.69417703223847,27.652360385389333,82.32166675393017,112.6,0.7682060390763766
Austin,"Austin, TX",TX,979882,30.2672,-97.7431,11,9,2,62.696294761680974,55.793737684502226,47.84078644438615,70.97157279257915,50.26390156104292,69.27652504807762,95.3,0.9076600209863589
Raleigh,"Raleigh, NC",NC,482295,35.7796,-78.6382,6,10,-4,66.78968396389847,55.235566284305854,55.43460126602109,76.06403804602604,41.4016850072482,68.87041257964827,93.1,0.929108485499463
Boise,"Boise, ID",ID,237446,43.615,-116.2023,8,11,-3,66.12608148062718,54.56506211354283,55.43460126602109,70.97157279257915,36.288514691326085,71.9720703832813,95.2,0.9086134453781513
Chandler,"Chandler, AZ",AZ,283500,33.3062,-111.8413,3,12,-9,68.7895311956966,54.2479653698688,60.0032378253787,76.06403804602604,32.43934056854269,70.30131771568502,97.8,0.8844580777096115
New York,"New York, NY",NY,8258035,40.7128,-74.006,90,13,77,28.43061380571595,53.384151968530226,0.0,25.139385511557176,100.0,60.15245590559067,115.9,0.7463330457290768
Lincoln,"Lincoln, NE",NE,295222,40.8136,-96.7026,10,14,-4,62.76562066952088,53.19399264666449,55.43460126602109,65.87910753913226,37.1642234705631,66.98315320340927,91.5,0.9453551912568307
Portland,"Portland, OR",OR,635067,45.5155,-122.6789,63,15,48,43.577415615595186,52.952927599686994,34.11429732235225,30.23185076500407,58.35838671727947,66.38609875942925,100.9,0.8572844400396432
Denver,"Denver, CO",CO,713252,39.7392,-104.9903,55,16,39,46.53339227981019,52.89533048391964,22.73386481188037,50.60171177879158,69.68752639111995,66.2646002487586,104.3,0.8293384467881112
Washington,"Washington, DC",DC,678972,38.9072,-77.0369,93,17,76,24.24883506584673,52.597350064292264,0.0,14.95445500466339,100.0,57.7920501928768,116.8,0.740582191780822
Lexington,"Lexington, KY",KY,322570,38.0406,-84.5037,24,18,6,54.14612583036484,52.15825051866409,48.06716032795792,50.60171177879158,44.638085843689346,63.769505384345,89.0,0.9719101123595506
Henderson,"Henderson, NV",NV,331540,36.0395,-114.9817,7,19,-12,66.49255251641502,51.928472327621286,60.0032378253787,76.06403804602604,32.37179747964481,63.410381677840334,98.0,0.8826530612244898
Virginia Beach,"Virginia Beach, VA",VA,459470,36.8529,-75.978,18,20,-2,55.96216415209193,51.648247502783725,39.42379386430839,60.78664228568537,47.84489233776077,67.67605630628202,103.4,0.8365570599613152
San Jose,"San Jose, CA",CA,945942,37.3382,-121.8863,33,21,12,51.17102255123302,51.58973841217064,40.74087827781689,45.50924652534474,46.765394108157615,67.26294285053741,112.6,0.7682060390763766
San Diego,"San Diego, CA",CA,1388320,32.7157,-117.1611,21,22,-1,55.15128732221137,51.48429569445033,46.585440362760856,50.60171177879158,39.600736895508476,68.26670982508165,112.6,0.7682060390763766
Charlotte,"Charlotte, NC",NC,897720,35.2271,-80.8431,16,23,-7,57.68765195565472,50.708543224721325,53.60303075348583,65.87910753913226,44.941781346332036,53.580817574346085,93.1,0.929108485499463
Durham,"Durham, NC",NC,295179,35.994,-78.8986,14,24,-10,59.08660869746518,50.656585423080195,52.63579688731553,70.97157279257915,45.68150296942418,53.65245641250087,93.1,0.929108485499463
Omaha,"Omaha, NE",NE,489265,41.2565,-95.9345,23,25,-2,54.27788699351132,50.43984752781603,52.63579688731553,55.69417703223847,44.180058635152605,54.50368706097997,91.5,0.9453551912568307
Honolulu,"Honolulu, HI",HI,345510,21.3069,-157.8583,62,26,36,44.077975736769424,50.433416628385864,29.772034646566414,30.23185076500407,49.298173439853386,72.2300417987378,119.2,0.7256711409395973
