city,city_state,state,population,lat,lon,rank,tax_per_capita,investment_per_capita,composite_score,tax_score,investment_score,effectiveness_score,city_pgi
Irvine,"Irvine, CA",CA,314603,33.6846,-117.8265,1,947.9662522202487,1391.9893428063945,99.86631016042782,56.35777335667761,38.92358941504469,92.84417922572553,62.70851399914928
Scottsdale,"Scottsdale, AZ",AZ,241361,33.4942,-111.9261,2,1091.4212678936606,1526.5746421267895,94.10031177236444,52.51718204822582,42.75043977795339,86.14235279921151,60.4699915417969
Seattle,"Seattle, WA",WA,755078,47.6062,-122.3321,3,1976.2232558139535,2512.925581395349,86.85360495442518,28.82917916763107,70.79672320530847,77.71949729543525,59.1151332227916
San Francisco,"San Francisco, CA",CA,808437,37.7749,-122.4194,4,3936.287744227354,4228.974245115453,85.18236736932833,0.0,100.0,75.77701596627426,58.592338655424754
Gilbert,"Gilbert, AZ",AZ,280892,33.3528,-111.789,5,676.6104294478528,1107.3415132924335,87.78430549631311,63.62253722390993,30.82980313097614,78.80125158445968,57.751197313115256
Fremont,"Fremont, CA",CA,230504,37.5485,-121.9886,6,758.2193605683838,995.595026642984,90.813137772866,61.43769516675178,27.652360385389333,82.32166675393017,57.137240768690425
Plano,"Plano, TX",TX,288253,33.0198,-96.6989,7,1120.052465897167,1421.395592864638,86.85719362066742,51.75066489518905,39.75973808265864,77.72366840625415,56.41135712803395
Austin,"Austin, TX",TX,979882,30.2672,-97.7431,8,1331.5372507869886,1790.813221406086,79.58959044994178,46.088774142154996,50.26390156104292,69.27652504807762,55.20973358375851
Madison,"Madison, WI",WI,269840,43.0731,-89.4012,9,1735.5508021390374,1735.5508021390374,89.5026316688231,35.27248496233369,48.692548595338515,80.79846403185441,54.92116586317553
Raleigh,"Raleigh, NC",NC,482295,35.7796,-78.6382,10,1020.1611170784104,1479.140708915145,79.24018661741758,54.42496557587238,41.4016850072482,68.87041257964827,54.89902105425628
Chandler,"Chandler, AZ",AZ,283500,33.3062,-111.8413,11,774.7852760736197,1163.9468302658488,80.47128336370425,60.99419090301242,32.43934056854269,70.30131771568502,54.57828306241337
Boise,"Boise, ID",ID,237446,43.615,-116.2023,12,997.65756302521,1299.3172268907565,81.90873586920337,55.027432862919035,36.288514691326085,71.9720703832813,54.42933931250881
New York,"New York, NY",NY,8258035,40.7128,-74.006,13,4383.2139775668675,4833.99913718723,71.73958589595581,0.0,100.0,60.15245590559067,53.384151968530226
San Jose,"San Jose, CA",CA,945942,37.3382,-121.8863,14,1391.9893428063945,1667.7753108348136,77.85718036254877,44.47034499140283,46.765394108157615,67.26294285053741,52.832893983365956
San Diego,"San Diego, CA",CA,1388320,32.7157,-117.1611,15,1173.8188277087036,1415.803730017762,78.72078356395603,50.31122674873507,39.600736895508476,68.26670982508165,52.72622448977506
Lincoln,"Lincoln, NE",NE,295222,40.8136,-96.7026,16,1038.0,1330.114754098361,77.61645991536511,53.94738130752501,37.1642234705631,66.98315320340927,52.69825266049913
Denver,"Denver, CO",CO,713252,39.7392,-104.9903,17,2228.4324065196547,2473.916586768936,76.9982440866378,22.077011823984456,69.68752639111995,66.2646002487586,52.676379487954335
Washington,"Washington, DC",DC,678972,38.9072,-77.0369,18,4624.935787671233,4982.636986301371,69.70878195259509,0.0,100.0,57.7920501928768,52.597350064292264
