state,state_name,rank,total_burden,investment_ratio,composite_z,tax_score,investment_score,effectiveness_score,public_good_index
NH,New Hampshire,1,0.0322658045175557,0.57,1.4359259682649317,88.36202536739523,57.50999334220739,84.44227244371473,76.77143038443911
UT,Utah,2,0.0604660053330261,0.63,0.8759468847632089,56.477135753664584,87.54996671103717,70.31049118727648,71.44586455065941
SD,South Dakota,3,0.039332599086597,0.61,0.046787141387106,80.37187075001455,77.53664225476058,49.385595123726446,69.09803604283387
NE,Nebraska,4,0.0570094853569582,0.6,0.6231949729106725,60.38529082694758,72.52998002662227,63.93197663971371,65.61574916442784
WY,Wyoming,5,0.0543343968054669,0.6,0.4954590995832332,63.409911244702286,72.52998002662227,60.70840012829224,65.54943046653892
CO,Colorado,6,0.043546492044254,0.56,0.5166273379295173,75.60738298348554,52.50333111406915,61.24260742764919,63.11777384173462
IA,Iowa,7,0.0631555260589653,0.59,0.7510170665018557,53.43619742767339,67.52331779848399,67.15772902866883,62.705748084942066
ID,Idaho,8,0.0713932441187258,0.61,0.7194397271489521,44.122124356945235,77.53664225476058,66.36083488468572,62.67320049879718
FL,Florida,9,0.0393156608639278,0.57,0.0050489140872582,80.391022151226,57.50999334220739,48.33227810598264,62.07776453313867
TX,Texas,10,0.0421056980698142,0.57,-0.0269281833896957,77.23643368180323,57.50999334220739,47.52529555953771,60.75724086118277
MT,Montana,11,0.0630917959567465,0.59,0.371605730343393,53.508254619308836,67.52331779848399,57.58280352381672,59.53812531386985
VA,Virginia,12,0.0583526490848627,0.56,0.6929363114439084,58.86662691821727,52.50333111406915,65.69198762890964,59.02064855373202
GA,Georgia,13,0.0506743804212155,0.58,-0.4493841063857486,67.54815193170765,62.516655570345684,36.864085399804004,55.642964300619106
MO,Missouri,14,0.045896894566659,0.56,-0.3480863239627227,72.94987265350218,52.50333111406915,39.42046320951209,54.95788899236114
KS,Kansas,15,0.0697100139605126,0.58,0.2101761941456508,46.02528838546831,62.516655570345684,53.50892476461526,54.01695624014309
NC,North Carolina,16,0.0577768106816245,0.58,-0.3261081216367815,59.51770539963449,62.516655570345684,39.97511097552814,54.00315731516944
WA,Washington,17,0.0644098444052338,0.54,0.6927664638360872,52.01798759743318,42.490006657792556,65.68770130945347,53.3985651882264
AZ,Arizona,18,0.0500925738397699,0.55,-0.1857058025053936,68.2059784041971,47.49666888593085,43.51834128594258,53.07366285869017
