state,state_name,rank,adj_rank,rank_change,public_good_index,adj_public_good_index,tax_score,investment_score,adj_investment_score,effectiveness_score,rpp,col_weight
NH,New Hampshire,4,1,3,57.448104941188376,57.79528905616749,83.36202536739523,9.52223381822379,10.563786163161112,79.46005563794613,106.0,0.8160377358490566
MA,Massachusetts,6,2,4,56.29564169965056,57.26253880723092,39.61435708647095,49.790688714343624,52.69138003708468,79.4818792981371,110.1,0.7856494096276113
WY,Wyoming,2,3,-1,60.01835711643249,56.6487823587101,58.40991124470228,66.1086318526468,55.99990757947964,55.53652825194839,95.3,0.9076600209863589
NE,Nebraska,3,4,-1,58.14551868023002,55.120891185730024,55.38529082694758,60.15453991935183,51.08065743585183,58.89672529439065,91.5,0.9453551912568307
UT,Utah,1,5,-4,70.76448299279191,54.37072198971284,51.47713575366458,95.43413497736849,46.252851968131274,65.38217824734267,97.9,0.8835546475995913
IA,Iowa,12,6,6,53.05121105114429,53.213586590696615,48.43619742767338,48.51730879100384,49.0044354096608,62.20012693475566,89.5,0.9664804469273743
ND,North Dakota,11,7,4,53.110507738702914,53.110507738702914,2.7226180222820915,100.0,100.0,56.608905193826644,91.2,0.9484649122807017
MN,Minnesota,15,8,7,51.02056538264403,53.03902225860219,17.734656185706,67.8595436266594,73.91491425453387,67.46749633556668,98.0,0.8826530612244898
VT,Vermont,19,9,10,47.635723369861324,52.83394659075227,0.7496770087052624,70.5219470967385,86.11661675941133,71.63554600414021,103.2,0.8381782945736433
CT,Connecticut,21,10,11,46.224220306326494,51.989028330361066,34.3493787649696,34.694758489309784,51.98918256141346,69.62852366470013,108.7,0.795768169273229
VA,Virginia,5,11,-6,57.06844277625198,51.82097850641971,53.86662691821728,56.73935342218656,40.996960612689776,60.59934798835209,103.4,0.8365570599613152
NJ,New Jersey,14,12,2,51.07292179634474,51.7152508519379,36.466086485122865,39.054627869878416,40.98161503665791,77.69805103403293,113.5,0.762114537444934
ID,Idaho,8,13,-5,55.56217032128429,50.84808226980575,39.12212435694525,66.1699568750545,52.0276927206189,61.39442973185311,95.2,0.9086134453781513
ME,Maine,20,14,6,47.28715792571223,50.31659617579887,39.50121198364959,37.34768474429243,46.435999494552355,65.01257704919468,99.3,0.8710976837865055
WA,Washington,9,15,-6,54.918118780129475,50.04285746036104,47.01798759743318,56.883058012677004,42.257274053371695,60.85331073027825,107.5,0.8046511627906977
MT,Montana,13,16,-3,51.48780203765617,49.54040795703677,48.50825461930872,53.51682859070044,47.67464634884226,52.43832290295932,95.5,0.9057591623036649
SD,South Dakota,16,17,-1,50.69195389467507,49.41621642389248,75.37187075001455,32.50784480100613,28.68063238865834,44.19614613300454,90.6,0.9547461368653423
CO,Colorado,7,18,-11,55.62547226405726,49.05538894109884,70.60738298348554,39.918025004178155,20.207775035302944,56.351008804508055,104.3,0.8293384467881112
WI,Wisconsin,18,19,-1,48.05559849118605,48.94167206378511,44.91273861534501,43.81425322365441,46.472473941451575,55.439803634558736,93.5,0.9251336898395722
