state,state_name,total_state_taxes,personal_income,population,state_tax_rate,ss_rate,medicare_rate,pfml_rate,federal_payroll_rate,total_burden,taxes_per_capita,rpp,col_weight
AL,Alabama,16895681.0,279484.6,5108468,0.06045299454782124,0.062,0.0145,0.0,0.0765,0.13695299454782123,3258.4166443470626,87.8,0.9851936218678816
AR,Arkansas,12674290.0,173568.3,3067732,0.07302191702056193,0.062,0.0145,0.0,0.0765,0.14952191702056195,4131.485410068415,86.5,1.0
AZ,Arizona,23595616.0,471040.2,7431344,0.050092573839769935,0.062,0.0145,0.0,0.0765,0.12659257383976993,2808.285172875075,97.8,0.8844580777096115
CA,California,265550679.0,3182779.3,38965193,0.08343358240390718,0.062,0.0145,0.009,0.0765,0.16893358240390718,5235.381107662737,112.6,0.7682060390763766
CO,Colorado,18473075.0,473104.6,5877610,0.03904649204425406,0.062,0.0145,0.0045,0.0765,0.12004649204425406,2606.575007171331,104.3,0.8293384467881112
CT,Connecticut,23213078.0,328729.9,3617176,0.07061444060914447,0.062,0.0145,0.005,0.0765,0.15211444060914447,5106.809451145498,108.7,0.795768169273229
DE,Delaware,6534362.0,66943.8,1031890,0.09760966661587779,0.062,0.0145,0.005,0.0765,0.1791096666158778,5477.544244057021,100.0,0.865
FL,Florida,63087887.0,1604650.3,22610726,0.0393156608639278,0.062,0.0145,0.0,0.0765,0.1158156608639278,2399.1069088729223,100.6,0.8598409542743539
GA,Georgia,33644287.0,663930.9,11029227,0.05067438042121552,0.062,0.0145,0.0,0.0765,0.1271743804212155,2858.779506511202,92.3,0.9371614301191766
IA,Iowa,12742000.0,201755.9,3207004,0.06315552605896531,0.062,0.0145,0.0,0.0765,0.1396555260589653,3839.999530636259,89.5,0.9664804469273743
ID,Idaho,8331049.0,116692.4,1964726,0.07139324411872582,0.062,0.0145,0.0,0.0765,0.14789324411872581,3852.8034624187803,95.2,0.9086134453781513
IL,Illinois,66920244.0,907225.7,12549689,0.07376361141444736,0.062,0.0145,0.0,0.0765,0.15026361141444736,4755.201508328667,97.0,0.8917525773195877
IN,Indiana,26123567.0,422345.3,6862199,0.061853575735304735,0.062,0.0145,0.0,0.0765,0.13835357573530474,3630.5965354698606,90.7,0.9536934950385887
KS,Kansas,13067651.0,187457.3,2940546,0.0697100139605126,0.062,0.0145,0.0,0.0765,0.14621001396051259,4256.94370239446,90.3,0.9579180509413068
KY,Kentucky,17220886.0,253319.5,4526154,0.06798089369353721,0.062,0.0145,0.0,0.0765,0.14448089369353723,3697.875336807146,89.0,0.9719101123595506
LA,Louisiana,15955144.0,270677.4,4573749,0.0589452388710694,0.062,0.0145,0.0,0.0765,0.1354452388710694,3352.7563882009654,90.0,0.9611111111111111
MA,Massachusetts,43080972.0,635619.8,7001399,0.06777789489880585,0.062,0.0145,0.00318,0.0765,0.14745789489880584,4834.253870974023,110.1,0.7856494096276113
MD,Maryland,30911703.0,469239.6,6180253,0.06587616006833183,0.062,0.0145,0.0025,0.0765,0.14487616006833182,3943.902390512907,109.7,0.788514129443938
ME,Maine,6509073.0,91602.3,1395722,0.07105796470175967,0.062,0.0145,0.0,0.0765,0.14755796470175966,4062.4410977954644,99.3,0.8710976837865055
MI,Michigan,37572346.0,617163.2,10037261,0.06087910944787375,0.062,0.0145,0.0,0.0765,0.13737910944787374,3523.3330026962594,91.9,0.9412404787812839
MN,Minnesota,35666979.0,418091.0,5737915,0.08530912887385761,0.062,0.0145,0.005,0.0765,0.16680912887385763,5486.586712940082,98.0,0.8826530612244898
